省份,时间,确诊,治愈,死亡,新增确诊
云南,1.26,19,0,0,8
云南,1.27,26,0,0,18
云南,1.28,51,0,0,7
云南,1.29,70,0,0,19
云南,1.30,80,1,0,10
云南,1.31,91,2,0,11
云南,2.1,99,2,0,8
云南,2.2,109,3,0,10
云南,2.3,117,5,0,8
云南,2.4,122,5,0,5
云南,2.5,128,5,0,4
云南,2.6,135,7,0,2
云南,2.7,138,12,0,3
云南,2.8,140,17,0,2
云南,2.9,141,18,0,1
云南,2.10,149,19,0,8
云南,2.11,154,20,0,5
云南,2.12,155,23,0,1
云南,2.13,162,27,0,7
云南,2.14,168,35,0,6
云南,2.15,169,42,0,1
云南,2.16,171,42,0,0
云南,2.17,172,47,0,1
云南,2.18,173,57,0,1
云南,2.19,172,60,1,0
云南,2.20,174,79,2,2
云南,2.21,174,96,2,0
云南,2.22,174,107,2,0
云南,2.23,174,115,2,0
云南,2.24,174,124,2,0
云南,2.25,174,129,2,0
云南,2.26,174,144,2,0
云南,2.27,174,150,2,0
云南,2.28,174,156,2,0
云南,2.29,174,157,2,0
云南,3.1,174,163,2,0
云南,3.2,174,168,2,0
云南,3.3,174,169,2,0
云南,3.4,174,169,2,0
云南,3.5,174,169,2,0
云南,3.6,174,170,2,0
云南,3.7,174,170,2,0
云南,3.8,174,170,2,0
云南,3.9,174,170,2,0
云南,3.10,174,170,2,0
云南,3.11,174,170,2,0
云南,3.12,174,170,2,0
云南,3.13,174,170,2,0
云南,3.14,174,172,2,0
云南,3.15,175,172,2,1
云南,3.16,176,172,2,1
云南,3.17,176,172,2,0
云南,3.18,176,172,2,0
云南,3.19,176,172,2,0
云南,3.20,176,172,2,0
云南,3.21,176,172,2,0
云南,3.22,176,172,2,0
云南,3.23,176,172,2,0
云南,3.24,176,172,2,0
云南,3.25,178,172,2,2
云南,3.26,180,172,2,2
云南,3.27,180,172,2,0
云南,3.28,180,172,2,0
云南,3.29,180,172,2,0
云南,3.30,181,172,2,1
云南,3.31,182,172,2,1
云南,4.1,183,172,2,1
云南,4.2,184,172,2,1
云南,4.3,184,172,2,0
云南,4.4,184,172,2,0
云南,4.5,184,172,2,0
云南,4.6,184,173,2,0
云南,4.7,184,173,2,0
云南,4.8,184,173,2,0
云南,4.9,184,173,2,0
云南,4.10,184,174,2,0
云南,4.11,184,174,2,0
云南,4.12,184,174,2,0
云南,4.13,184,175,2,0
云南,4.14,184,176,2,0
云南,4.15,184,176,2,0
云南,4.16,184,177,2,0
云南,4.17,184,177,2,0
云南,4.18,184,178,2,0
云南,4.19,184,178,2,0
云南,4.20,184,178,2,0
云南,4.21,184,178,2,0
云南,4.22,184,178,2,0
云南,4.23,184,180,2,0
云南,4.24,185,180,2,1
云南,4.25,185,181,2,0
云南,4.26,185,181,2,0
云南,4.27,185,181,2,0
云南,4.28,185,181,2,0
云南,4.29,185,181,2,0
云南,4.30,185,181,2,0
云南,5.1,185,181,2,0
云南,5.2,185,181,2,0
云南,5.3,185,181,2,0
云南,5.4,185,181,2,0
云南,5.5,185,181,2,0
云南,5.6,185,181,2,0
云南,5.7,185,182,2,0
云南,5.8,185,182,2,0
云南,5.9,185,183,2,0
云南,5.10,185,183,2,0
云南,5.11,185,183,2,0
云南,5.12,185,183,2,0
云南,5.13,185,183,2,0
云南,5.14,185,183,2,0
云南,5.15,185,183,2,0
云南,5.16,185,183,2,0
云南,5.17,185,183,2,0
云南,5.18,185,183,2,0
云南,5.19,185,183,2,0
云南,5.20,185,183,2,0
云南,5.21,185,183,2,0
云南,5.22,185,183,2,0
云南,5.23,185,183,2,0
云南,5.24,185,183,2,0
云南,5.25,185,183,2,0
云南,5.26,185,183,2,0
云南,5.27,185,183,2,0
云南,5.28,185,183,2,0
云南,5.29,185,183,2,0
云南,5.30,185,183,2,0
云南,5.31,185,183,2,0
云南,6.1,185,183,2,0
云南,6.2,185,183,2,0
