省份,时间,确诊,治愈,死亡,新增确诊
重庆,1.26,75,0,0,35
重庆,1.27,110,0,0,22
重庆,1.28,132,0,0,15
重庆,1.29,182,1,0,18
重庆,1.30,206,1,0,41
重庆,1.31,211,1,0,32
重庆,2.1,262,3,1,24
重庆,2.2,300,7,2,38
重庆,2.3,337,9,2,37
重庆,2.4,366,14,2,29
重庆,2.5,389,15,2,13
重庆,2.6,411,24,2,22
重庆,2.7,426,31,2,15
重庆,2.8,446,39,2,18
重庆,2.9,468,51,2,22
重庆,2.10,486,66,2,18
重庆,2.11,505,79,3,19
重庆,2.12,518,102,3,13
重庆,2.13,529,128,4,4
重庆,2.14,537,152,5,8
重庆,2.15,544,184,5,7
重庆,2.16,551,207,5,7
重庆,2.17,553,225,5,2
重庆,2.18,555,254,5,2
重庆,2.19,560,274,5,5
重庆,2.20,567,299,6,7
重庆,2.21,572,316,6,5
重庆,2.22,573,328,6,1
重庆,2.23,575,335,6,2
重庆,2.24,576,349,6,1
重庆,2.25,576,372,6,0
重庆,2.26,576,384,6,0
重庆,2.27,576,401,6,0
重庆,2.28,576,422,6,0
重庆,2.29,576,438,6,0
重庆,3.1,576,450,6,0
重庆,3.2,576,469,6,0
重庆,3.3,576,490,6,0
重庆,3.4,576,502,6,0
重庆,3.5,576,512,6,0
重庆,3.6,576,520,6,0
重庆,3.7,576,526,6,0
重庆,3.8,576,527,6,0
重庆,3.9,576,542,6,0
重庆,3.10,576,547,6,0
重庆,3.11,576,554,6,0
重庆,3.12,576,564,6,0
重庆,3.13,576,566,6,0
重庆,3.14,576,569,6,0
重庆,3.15,576,570,6,0
重庆,3.16,576,570,6,0
重庆,3.17,576,570,6,0
重庆,3.18,576,570,6,0
重庆,3.19,576,570,6,0
重庆,3.20,576,570,6,0
重庆,3.21,576,570,6,0
重庆,3.22,577,570,6,1
重庆,3.23,578,570,6,1
重庆,3.24,578,570,6,0
重庆,3.25,578,570,6,0
重庆,3.26,578,570,6,0
重庆,3.27,578,570,6,0
重庆,3.28,579,570,6,1
重庆,3.29,579,570,6,0
重庆,3.30,579,570,6,0
重庆,3.31,579,570,6,0
重庆,4.1,579,570,6,0
重庆,4.2,579,570,6,0
重庆,4.3,579,570,6,0
重庆,4.4,579,570,6,0
重庆,4.5,579,570,6,0
重庆,4.6,579,570,6,0
重庆,4.7,579,570,6,0
重庆,4.8,579,570,6,0
重庆,4.9,579,570,6,0
重庆,4.10,579,570,6,0
重庆,4.11,579,570,6,0
重庆,4.12,579,570,6,0
重庆,4.13,579,570,6,0
重庆,4.14,579,570,6,0
重庆,4.15,579,570,6,0
重庆,4.16,579,570,6,0
重庆,4.17,579,570,6,0
重庆,4.18,579,570,6,0
重庆,4.19,579,570,6,0
重庆,4.20,579,570,6,0
重庆,4.21,579,570,6,0
重庆,4.22,579,570,6,0
重庆,4.23,579,573,6,0
重庆,4.24,579,573,6,0
重庆,4.25,579,573,6,0
重庆,4.26,579,573,6,0
重庆,4.27,579,573,6,0
重庆,4.28,579,573,6,0
重庆,4.29,579,573,6,0
重庆,4.30,579,573,6,0
重庆,5.1,579,573,6,0
重庆,5.2,579,573,6,0
重庆,5.3,579,573,6,0
重庆,5.4,579,573,6,0
重庆,5.5,579,573,6,0
重庆,5.6,579,573,6,0
重庆,5.7,579,573,6,0
重庆,5.8,579,573,6,0
重庆,5.9,579,573,6,0
重庆,5.10,579,573,6,0
重庆,5.11,579,573,6,0
重庆,5.12,579,573,6,0
重庆,5.13,579,573,6,0
重庆,5.14,579,573,6,0
重庆,5.15,579,573,6,0
重庆,5.16,579,573,6,0
重庆,5.17,579,573,6,0
重庆,5.18,579,573,6,0
重庆,5.19,579,573,6,0
重庆,5.20,579,573,6,0
重庆,5.21,579,573,6,0
重庆,5.22,579,573,6,0
重庆,5.23,579,573,6,0
重庆,5.24,579,573,6,0
重庆,5.25,579,573,6,0
重庆,5.26,579,573,6,0
重庆,5.27,579,573,6,0
重庆,5.28,579,573,6,0
重庆,5.29,579,573,6,0
重庆,5.30,579,573,6,0
重庆,5.31,579,573,6,0
重庆,6.1,579,573,6,0
重庆,6.2,579,573,6,0
